,vtype,id,semi,assign,literal,character,boolstr,addsub,multdiv,lparen,rparen,num,lbrace,rbrace,comma,if,while,comp,else,return,class,$
0,s2,,,,,,,,,,,,,,,,,,,,,
1,s6,,,,,,,,,,,,,,,,,,,,s7,r3
2,,s8,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,acc
4,s6,,,,,,,,,,,,,,,,,,,,s7,r3
5,s6,,,,,,,,,,,,,,,,,,,,s7,r3
6,,s12,,,,,,,,,,,,,,,,,,,,
7,,s13,,,,,,,,,,,,,,,,,,,,
8,,,s14,s15,,,,,,,,,,,,,,,,,,
9,,,s16,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,r1
11,,,,,,,,,,,,,,,,,,,,,,r2
12,,,s14,s15,,,,,,s17,,,,,,,,,,,,
13,,,,,,,,,,,,,s18,,,,,,,,,
14,r4,r4,,,,,,,,,,,,r4,,r4,r4,,,r4,r4,r4
15,,s26,,,s21,s22,s23,,,s25,,s27,,,,,,,,,,
16,r5,r5,,,,,,,,,,,,r5,,r5,r5,,,r5,r5,r5
17,s29,,,,,,,,,,r19,,,,,,,,,,,
18,s6,,,,,,,,,,,,,r36,,,,,,,,
19,,,r6,,,,,,,,,,,,,,,,,,,
20,,,r7,,,,,,,,,,,,,,,,,,,
21,,,r8,,,,,,,,,,,,,,,,,,,
22,,,r9,,,,,,,,,,,,,,,,,,,
23,,,r10,,,,,,,,,,,,,,,,,,,
24,,,r11,,,,,s33,s34,,r11,,,,,,,,,,,
25,,s26,,,,,,,,s25,,s27,,,,,,,,,,
26,,,r15,,,,,r15,r15,,r15,,,,,,,,,,,
27,,,r16,,,,,r16,r16,,r16,,,,,,,,,,,
28,,,,,,,,,,,s36,,,,,,,,,,,
29,,s37,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,s38,,,,,,,,
31,s6,,,,,,,,,,,,,r36,,,,,,,,
32,s6,,,,,,,,,,,,,r36,,,,,,,,
33,,s26,,,,,,,,s25,,s27,,,,,,,,,,
34,,s26,,,,,,,,s25,,s27,,,,,,,,,,
35,,,,,,,,,,,s43,,,,,,,,,,,
36,,,,,,,,,,,,,s44,,,,,,,,,
37,,,,,,,,,,,r21,,,,s46,,,,,,,
38,r33,,,,,,,,,,,,,,,,,,,,r33,r33
39,,,,,,,,,,,,,,r34,,,,,,,,
40,,,,,,,,,,,,,,r35,,,,,,,,
41,,,r12,,,,,,,,r12,,,,,,,,,,,
42,,,r13,,,,,,,,r13,,,,,,,,,,,
43,,,r14,,,,,r14,r14,,r14,,,,,,,,,,,
44,s2,s53,,,,,,,,,,,,r23,,s51,s52,,,r23,,
45,,,,,,,,,,,r18,,,,,,,,,,,
46,s54,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,s56,,
48,s2,s53,,,,,,,,,,,,r23,,s51,s52,,,r23,,
49,r24,r24,,,,,,,,,,,,r24,,r24,r24,,,r24,,
50,,,s58,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,s59,,,,,,,,,,,,
52,,,,,,,,,,s60,,,,,,,,,,,,
53,,,,s15,,,,,,,,,,,,,,,,,,
54,,s61,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,s62,,,,,,,,
56,,s26,,,s21,s22,s23,,,s25,,s27,,,,,,,,,,
57,,,,,,,,,,,,,,r22,,,,,,r22,,
58,r25,r25,,,,,,,,,,,,r25,,r25,r25,,,r25,,
59,,,,,,,s65,,,,,,,,,,,,,,,
60,,,,,,,s65,,,,,,,,,,,,,,,
61,,,,,,,,,,,r21,,,,s46,,,,,,,
62,r17,,,,,,,,,,,,,r17,,,,,,,r17,r17
63,,,s68,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,s69,,,,,,,,,,,
65,,,,,,,,,,,r29,,,,,,,s70,,,,
66,,,,,,,,,,,s71,,,,,,,,,,,
67,,,,,,,,,,,r20,,,,,,,,,,,
68,,,,,,,,,,,,,,r32,,,,,,,,
69,,,,,,,,,,,,,s72,,,,,,,,,
70,,,,,,,s65,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,s74,,,,,,,,,
72,s2,s53,,,,,,,,,,,,r23,,s51,s52,,,r23,,
73,,,,,,,,,,,r28,,,,,,,,,,,
74,s2,s53,,,,,,,,,,,,r23,,s51,s52,,,r23,,
75,,,,,,,,,,,,,,s77,,,,,,,,
76,,,,,,,,,,,,,,s78,,,,,,,,
77,r31,r31,,,,,,,,,,,,r31,,r31,r31,,s80,r31,,
78,r27,r27,,,,,,,,,,,,r27,,r27,r27,,,r27,,
79,r26,r26,,,,,,,,,,,,r26,,r26,r26,,,r26,,
80,,,,,,,,,,,,,s81,,,,,,,,,
81,s2,s53,,,,,,,,,,,,r23,,s51,s52,,,r23,,
82,,,,,,,,,,,,,,s83,,,,,,,,
83,r30,r30,,,,,,,,,,,,r30,,r30,r30,,,r30,,
